arquivo,linha,metodo,rota,protecoes_detectadas,status,achado
apps/api/src/routes/community.ts,157,GET,/channels/:channelId/forum/:kind/:etag,-,Público intencional - asset por ID + etag,-
apps/api/src/routes/community.ts,175,POST,/channels/:channelId/forum/${kind},requireAuth; requireAnyGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,189,DELETE,/channels/:channelId/forum/${kind},requireAuth; requireAnyGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,201,POST,/channels/:channelId/forum/tags,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,210,DELETE,/forum/tags/:tagId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,219,POST,/channels/:channelId/forum/posts,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,235,GET,/forum/posts/:postId,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,250,POST,/forum/posts/:postId/comments,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,267,PATCH,/forum/posts/:postId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,280,GET,/guilds/:guildId/events,requireAuth; requireGuildMember; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,305,POST,/guilds/:guildId/events,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,322,PATCH,/events/:eventId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,358,POST,/events/:eventId/rsvp,requireAuth; requireGuildMember; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,377,DELETE,/events/:eventId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,391,GET,/events/:eventId/calendar.ics,requireAuth; requireGuildMember; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,409,GET,/guilds/:guildId/automod,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,416,POST,/guilds/:guildId/automod,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,429,PATCH,/automod/:ruleId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,439,DELETE,/automod/:ruleId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,448,GET,/guilds/:guildId/insights,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,467,GET,/guilds/:guildId/security-overview,requireAuth; requireAnyGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,517,GET,/guilds/:guildId/snapshot,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,541,POST,/guilds/from-snapshot,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,132,GET,/developers/applications,requireAuth; requireDeveloperAccess; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,147,POST,/developers/applications,requireAuth; requireDeveloperAccess; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,172,PATCH,/developers/applications/:applicationId,requireAuth; requireDeveloperAccess; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,191,POST,/developers/applications/:applicationId/token/reset,requireAuth; requireDeveloperAccess; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,200,DELETE,/developers/applications/:applicationId,requireAuth; requireDeveloperAccess; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,212,PUT,/developers/applications/:applicationId/commands/:name,requireAuth; requireDeveloperAccess; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,225,DELETE,/developers/applications/:applicationId/commands/:name,requireAuth; requireDeveloperAccess; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,234,GET,/oauth/applications/:clientId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,255,POST,/oauth/applications/:clientId/authorize,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,281,GET,/guilds/:guildId/bots,requireAuth; requireGuildMember; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,295,DELETE,/guilds/:guildId/bots/:applicationId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,310,GET,/developers/guilds/:guildId/webhooks,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,321,POST,/developers/webhooks,requireAuth; requireGuildCapability; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,368,POST,/developers/webhooks/:webhookId/token/reset,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,379,DELETE,/developers/webhooks/:webhookId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,417,POST,/api/webhooks/:webhookId,-,Autenticação própria - Authorization Bearer do webhook,-
apps/api/src/routes/developer.ts,425,POST,/api/webhooks/:webhookId/:token,-,Legado condicionado por flag - token na URL,-
apps/api/src/routes/developer.ts,479,GET,/bot/me,requireBotAuth,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,487,GET,/bot/guilds,requireBotAuth; requireChannelCapability,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,514,GET,/bot/channels/:channelId,requireBotAuth; requireChannelCapability,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,524,GET,/bot/guilds/:guildId/roles/:roleId,requireBotAuth,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,535,GET,/bot/users/:userId,requireBotAuth,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,552,GET,/bot/guilds/:guildId/members/:userId,requireBotAuth,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,578,PUT,/bot/commands/:name,requireBotAuth,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/developer.ts,588,POST,/bot/channels/:channelId/messages,requireBotAuth; requireChannelCapability,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/directCalls.ts,259,GET,/direct-calls/active,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/directCalls.ts,273,GET,/direct-calls/history,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/directCalls.ts,275,GET,/direct-calls/with/:peerUserId,requireAuth; usersBlockEachOther; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/directCalls.ts,291,POST,/direct-calls/start,requireAuth; usersBlockEachOther; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/directCalls.ts,340,POST,/direct-calls/:callId/answer,requireAuth; usersBlockEachOther; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/directCalls.ts,357,POST,/direct-calls/:callId/decline,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/directCalls.ts,378,POST,/direct-calls/:callId/join,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/directCalls.ts,398,POST,/direct-calls/:callId/leave,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/directCalls.ts,427,POST,/direct-calls/:callId/invite,requireAuth; usersBlockEachOther; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/directCalls.ts,462,POST,/direct-calls/:callId/end,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/gamingProfile.ts,390,GET,/gaming-profile/avatars,requireAuth,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/gamingProfile.ts,405,GET,/gaming-profile/avatar/:userId/:etag,-,Público intencional - asset por ID + etag,-
apps/api/src/routes/gamingProfile.ts,423,POST,/gaming-profile/avatar,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/gamingProfile.ts,463,DELETE,/gaming-profile/avatar,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/gamingProfile.ts,484,GET,/gaming-profile/banner/:userId/:etag,-,Público intencional - asset por ID + etag,-
apps/api/src/routes/gamingProfile.ts,502,POST,/gaming-profile/banner,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/gamingProfile.ts,537,DELETE,/gaming-profile/banner,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/gamingProfile.ts,553,GET,/gaming-profile/me,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/gamingProfile.ts,560,PATCH,/gaming-profile/presence,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/gamingProfile.ts,585,PATCH,/gaming-profile/me,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/gamingProfile.ts,671,POST,/gaming-profile/heartbeat,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/gamingProfile.ts,701,GET,/gaming-profile/user/:userId,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/gamingProfile.ts,708,GET,/gaming-profile/by-username/:username,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/gamingProfile.ts,720,GET,/gaming-profile/batch,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,257,GET,/guilds,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,339,GET,/guild-templates,requireAuth,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,343,POST,/guilds,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,459,PATCH,/guilds/:guildId/appearance,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,469,GET,/guilds/:guildId/icon/:etag,-,Público intencional - asset por ID + etag,-
apps/api/src/routes/guilds.ts,482,POST,/guilds/:guildId/icon,requireAuth; requireGuildManager; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,502,DELETE,/guilds/:guildId/icon,requireAuth; requireGuildManager; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,511,GET,/guilds/:guildId/banner/:etag,-,Público intencional - asset por ID + etag,-
apps/api/src/routes/guilds.ts,512,POST,/guilds/:guildId/banner,requireAuth; requireGuildManager; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,513,DELETE,/guilds/:guildId/banner,requireAuth; requireGuildManager; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,515,PATCH,/guilds/:guildId,requireAuth; requireGuildManager; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,556,PATCH,/guilds/:guildId/lockdown,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,592,DELETE,/guilds/:guildId,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,623,POST,/guilds/:guildId/leave,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,645,GET,/guilds/:guildId/members,requireAuth; requireGuildMember; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,684,PATCH,/guilds/:guildId/members/:userId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,700,PATCH,/guilds/:guildId/members/:userId/nickname,requireAuth; requireGuildMember; requireModerationTarget; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,718,PATCH,/guilds/:guildId/members/:userId/voice-moderation,requireAuth; requireModerationTarget; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,738,DELETE,/guilds/:guildId/members/:userId,requireAuth; requireModerationTarget; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,758,POST,/guilds/:guildId/members/:userId/kick,requireAuth; requireModerationTarget; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,778,POST,/guilds/:guildId/members/:userId/timeout,requireAuth; requireModerationTarget; requireModerationTargetAny; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,806,DELETE,/guilds/:guildId/members/:userId/timeout,requireAuth; requireModerationTarget; requireModerationTargetAny; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,821,POST,/guilds/:guildId/bans/:userId,requireAuth; requireModerationTarget; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,866,GET,/guilds/:guildId/bans,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,881,DELETE,/guilds/:guildId/bans/:userId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,891,GET,/guilds/:guildId/audit,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,919,POST,/guilds/:guildId/categories,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,947,PATCH,/categories/:categoryId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,964,DELETE,/categories/:categoryId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,978,PUT,/guilds/:guildId/categories/reorder,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,992,POST,/guilds/:guildId/channels,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,1025,PATCH,/channels/:channelId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,1044,PUT,/guilds/:guildId/channels/reorder,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,1073,DELETE,/channels/:channelId,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,1091,GET,/guilds/:guildId/structure,requireAuth; requireAnyGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,1103,GET,/guilds/:guildId/channel-permissions,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,1110,PUT,/guilds/:guildId/role-permissions/:role,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,1125,PUT,/categories/:categoryId/permissions/:role,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,1142,PUT,/channels/:channelId/permissions/:role,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,1159,POST,/guilds/:guildId/invites,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,1182,GET,/guilds/:guildId/invites,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,1193,DELETE,/guilds/:guildId/invites/:code,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/guilds.ts,1204,GET,/invites/:code,-,Público intencional - preview de convite,-
apps/api/src/routes/guilds.ts,1226,POST,/invites/:code/join,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/livekit.ts,63,POST,/livekit/token,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/livekit.ts,84,POST,/livekit/direct-token,requireAuth; requireDirectMember; canJoinDirectCall; usersBlockEachOther; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,68,GET,/messages/:messageId,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,76,GET,/messages/:messageId/thread,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,106,PATCH,/messages/:messageId,requireAuth; requireGuildCapability; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,125,DELETE,/messages/:messageId,requireAuth; requireGuildCapability; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,137,POST,/channels/:channelId/messages/clear,requireAuth; requireGuildCapability; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,169,POST,/messages/:messageId/forward,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,207,POST,/messages/:messageId/reactions,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,222,DELETE,/messages/:messageId/reactions,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,234,PUT,/messages/:messageId/pin,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,245,DELETE,/messages/:messageId/pin,requireAuth; requireGuildCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,255,GET,/channels/:channelId/pins,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,262,PUT,/messages/:messageId/bookmark,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,274,DELETE,/messages/:messageId/bookmark,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,280,GET,/bookmarks,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,289,PUT,/messages/:messageId/archive,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,302,DELETE,/messages/:messageId/archive,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,308,GET,/archives,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,317,POST,/messages/:messageId/task,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,335,GET,/tasks,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,347,PATCH,/tasks/:taskId,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,359,DELETE,/tasks/:taskId,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,367,POST,/channels/:channelId/scheduled-messages,requireAuth; requireGuildCapability; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,379,GET,/scheduled-messages,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,387,DELETE,/scheduled-messages/:scheduledId,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,395,GET,/guilds/:guildId/search,requireAuth; requireGuildMember; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/messages.ts,429,GET,/channels/:channelId/application-commands,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/music.ts,444,GET,/guilds/:guildId/music,requireAuth; requireGuildMember; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/music.ts,456,PATCH,/guilds/:guildId/music/settings,requireAuth; musicAccess; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/music.ts,497,POST,/guilds/:guildId/music/playback-lease,requireAuth; requireGuildMember; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/music.ts,519,POST,/guilds/:guildId/music/join,requireAuth; requireChannelCapability; musicAccess; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/music.ts,536,POST,/guilds/:guildId/music/leave,requireAuth; musicAccess; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/music.ts,552,POST,/guilds/:guildId/music/queue,requireAuth; musicAccess; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/music.ts,582,DELETE,/guilds/:guildId/music/queue/:trackId,requireAuth; musicAccess; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
